Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1167421,01/01/2020,Midwest,Minnesota,Saint Paul,Men's Apparel,59,79,4661.0,1741.4,0.37,In-store
Walmart,1197831,01/01/2020,Southeast,Florida,Tampa,Women's Street Footwear,69,312,21528.0,6764.62,0.31,In-store
Walmart,1197831,01/01/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,49,187,9163.0,3097.41,0.34,Online
Kohl's,1189833,01/01/2020,West,Oregon,Salem,Women's Apparel,58,271,15718.0,3786.87,0.24,Outlet
Sports Direct,1128299,01/01/2020,West,Colorado,Denver,Men's Street Footwear,50,62,3100.0,1175.77,0.38,Online
West Gear,1105732,01/01/2020,South,Arkansas,Fayetteville,Women's Athletic Footwear,58,232,13456.0,4342.87,0.32,Outlet
Walmart,1197831,01/01/2020,West,Nevada,Reno,Men's Apparel,40,97,3880.0,1375.73,0.35,In-store
Sports Direct,1128299,01/01/2020,South,Louisiana,Baton Rouge,Men's Athletic Footwear,76,152,11552.0,3974.67,0.34,Online
Kohl's,1189833,01/01/2020,Midwest,Ohio,Columbus,Women's Athletic Footwear,53,377,19981.0,8134.11,0.41,Online
Sports Direct,1128299,01/01/2020,South,Mississippi,Hattiesburg,Men's Street Footwear,54,368,19872.0,7515.76,0.38,Online
Walmart,1197831,01/01/2021,Northeast,New Jersey,Newark,Men's Athletic Footwear,68,298,20264.0,7333.67,0.36,Outlet
West Gear,1105732,01/01/2021,Southeast,Tennessee,Knoxville,Women's Apparel,41,60,2460.0,690.38,0.28,Outlet
Amazon,1167421,01/01/2021,Midwest,Illinois,Chicago,Men's Apparel,34,135,4590.0,1665.21,0.36,In-store
Kohl's,1189833,01/01/2021,West,Oregon,Portland,Women's Street Footwear,50,284,14200.0,4441.26,0.31,Online
Amazon,1167421,01/01/2021,Southeast,North Carolina,Durham,Women's Street Footwear,52,237,12324.0,3960.31,0.32,Online
Sports Direct,1128299,01/01/2021,Northeast,Massachusetts,Boston,Men's Apparel,33,68,2244.0,768.72,0.34,Online
Amazon,1167421,01/01/2021,South,Louisiana,Shreveport,Women's Athletic Footwear,79,44,3476.0,1699.67,0.49,In-store
Sports Direct,1128299,01/01/2021,West,Oregon,Salem,Men's Athletic Footwear,87,59,5133.0,1666.24,0.32,Outlet
West Gear,1105732,01/01/2021,Midwest,Michigan,Ann Arbor,Women's Street Footwear,65,62,4030.0,1439.68,0.36,In-store
Sports Direct,1128299,01/01/2021,West,Oregon,Salem,Men's Apparel,59,254,14986.0,3577.39,0.24,Outlet
Amazon,1167421,01/01/2021,South,Mississippi,Jackson,Men's Street Footwear,71,387,27477.0,8790.56,0.32,Outlet
